"","imdbId","movieId","title","genres","tmdbId","adult","overview","popularity","poster_path"
"1","tt0000417",32898,"Trip to the Moon, A (Voyage dans la lune, Le) (1902)","Action|Adventure|Fantasy|Sci-Fi",775,"False","A Trip to The Moon is a science fiction film from the French film pioneer Georges Méliès from the year 1902 about a trip to the moon. The film was the first film with a self-contained plot and was the beginning of the Science Fiction genre.","6.321801","http://image.tmdb.org/t/p/w185//emuYkqLndEqeVNY5LpFvGXfAO3O.jpg"
"2","tt0004972",7065,"Birth of a Nation, The (1915)","Drama|War",618,"False","The Birth of A Nation is a silent film from 1915 and the highest grossing silent film in film history. The film tells a romance story during the American civil war. D.W. Griffith invested heavily in its high production values, pioneering many new camera effects. The Birth of a Nation was strongly protested for its negative portrayal of newly freed slaves (mostly white actors in blackface), which went on to create and propagate negative images of blacks of the early 20th century in the United States. The film was used as a recruiting propaganda by the KKK until the 1940s.","5.113205","http://image.tmdb.org/t/p/w185//zYtgDRSOQeZmGbHkXff5CcEg05g.jpg"
"3","tt0006333",62383,"20,000 Leagues Under the Sea (1916)","Action|Adventure|Sci-Fi",30266,"False","Captain Nemo has built a fantastic submarine for his mission of revenge. He has traveled over 20,000 leagues in search of Charles Denver - a man who caused the death of Princess Daaker. Seeing what he had done, Denver took the daughter to his yacht and sailed away.","0.917777","http://image.tmdb.org/t/p/w185//RHnJt7A73W5oRgIKXRfFlSCHG.jpg"
"4","tt0008133",8511,"Immigrant, The (1917)","Comedy",47653,"False","Charlie is an immigrant who endures a challenging voyage and gets into trouble as soon as he arrives in America.","3.933922","http://image.tmdb.org/t/p/w185//rDRCnZHvvoJoEJCjvqsKAOt6eCu.jpg"
"5","tt0009018",3309,"Dog's Life, A (1918)","Comedy",36208,"False","Poor Charlie lives in a vacant lot. He tries to get a job but when he gets to the head of the employment line the jobs are gone. Back ""home"" he rescues Scraps, a bitch being attacked by other strays. Together they manage to steal some sausages from a lunch wagon. They enter a dance hall where Edna is a singer and unwilling companion to the clientele. He is thrown out when he can't pay. Back ""home""","1.972147","http://image.tmdb.org/t/p/w185//fCjliYnnHFGqw9roMINAfADf0cv.jpg"
"6","tt0009932",72626,"Billy Blazes, Esq. (1919)","Comedy|Western",53516,"False","Billy Blazes confronts Crooked Charley, who has been ruling the town of Peaceful Vale through fear and violence.","0.173856","http://image.tmdb.org/t/p/w185//uhL4pusQIFIjIm0FmgDJB0qpXae.jpg"
"7","tt0010323",6987,"Cabinet of Dr. Caligari, The (Cabinet des Dr. Caligari., Das) (1920)","Crime|Fantasy|Horror",234,"False","The Cabinet of Dr. Caligari is eerie and expressionistic, silent and surreal. It has become not only a classic of German Expressionist cinema, but a landmark in film history, with creative scenery and an unusual ending.","7.191271","http://image.tmdb.org/t/p/w185//myK9DeIsXWGKgUTZyGXg2IfFk0W.jpg"
"8","tt0011237",25737,"Golem, The (Golem, wie er in die Welt kam, Der) (1920)","Fantasy|Horror",2972,"False","In the 16th century, the Jews of Prague face persecution. Rabbi Loew creates a giant golem out of clay, to protect the people. This film should not be confused with  director Paul Wegener's  with Henrik Galeen 1915 mostly lost film The Golem (Der Golem) which was his  first film to explore the myth.","1.52413","http://image.tmdb.org/t/p/w185//gzXqhVnd3RfroaSm0btYN0lrVTt.jpg"
"9","tt0011439",59945,"Mark of Zorro, The (1920)","Adventure|Romance|Western",42657,"False","The adventures of the masked hero continues.","0.336801","http://image.tmdb.org/t/p/w185//3HPZeNUdKuLxPBNnD7SOb0URsc5.jpg"
"10","tt0011984",83322,"Boat, The (1921)","Comedy",50704,"False","Buster's handmade boat, The Damfino, is finished and is, of course, too large to get through the basement door. When he drives off with it in tow, the side of his house, then the whole thing, collapses. At the harbor he rides the boat out only to have it sink beneath him. The rest is a series of adventures he and his family have with the restored boat.","0.634836","http://image.tmdb.org/t/p/w185//43XzTylXudurLFEnafNYINISrzf.jpg"
"11","tt0012224",83318,"Goat, The (1921)","Comedy",51360,"False","A series of adventures begins when Buster is mistaken for Dead Shot Dan, the evil bad guy.","1.495106","http://image.tmdb.org/t/p/w185//jwpG3VChyJZPuuhMFtTYJ161hcA.jpg"
"12","tt0012255",83096,"Haunted House, The (1921)","Comedy",51359,"False","Buster Keaton is a bank teller who becomes involved with a hold-up, counterfeiters, and a theatrical troupe posing as spooks in a haunted house.","0.325674","http://image.tmdb.org/t/p/w185//fb4Yfox1KRKvq6XC5gs2nh1cBTr.jpg"
"13","tt0012349",3310,"Kid, The (1921)","Comedy|Drama",10098,"False","Considered one of Charlie Chaplin's best films, The Kid also made a star of little Jackie Coogan, who plays a boy cared for by The Tramp when he's abandoned by his mother, Edna. Later, Edna has a change of heart and aches to be reunited with her son. When she finds him and wrests him from The Tramp, it makes for what turns out be one of the most heart-wrenching scenes ever included in a comedy.","8.168456","http://image.tmdb.org/t/p/w185//drgMcyTsySQBnUPGaBThCHGdlWT.jpg"
"14","tt0012543",83361,"Paleface, The (1922)","Comedy",25770,"False","A butterfly collector unwittingly wanders into an Indian encampment while chasing a butterfly. This tribe has resolved to kill the first white man who enters their encampment because white oil tycoons are trying to force them from their land. The Indian warriors give chase to Keaton, who ingeniously escapes their efforts to kill him. As a result, Keaton eventually becomes accepted by the tribe and given the title, ""Little Chief Paleface"". He subsequently leads the tribe's effort to stop the oil tycoons from displacing them from their land.","1.114303","http://image.tmdb.org/t/p/w185//1E0bHCxwnbnlKHHgpyrnIQNOCCO.jpg"
